model_key,candidate_id,original_a_color_correct,original_b_color_correct,original_binding_correct,edited_a_color_correct,edited_b_color_correct,edited_binding_correct,original_a_color_failure,original_b_color_failure,original_binding_failure,edited_a_color_failure,edited_b_color_failure,prerequisite_failure_count,prerequisite_failure_pattern,crf_eligible
qwen3_vl_8b_instruct,maincand_0034,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
qwen3_vl_8b_instruct,maincand_0076,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
qwen3_vl_8b_instruct,maincand_0089,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
qwen3_vl_8b_instruct,maincand_0098,True,False,True,False,False,False,False,True,False,True,True,3,original_b_color+edited_a_color+edited_b_color,False
qwen3_vl_8b_instruct,maincand_0103,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
qwen3_vl_8b_instruct,maincand_0208,True,True,True,False,False,False,False,False,False,True,True,2,edited_a_color+edited_b_color,False
qwen3_vl_8b_instruct,maincand_0257,False,True,True,True,False,False,True,False,False,False,True,2,original_a_color+edited_b_color,False
internvl3_5_8b_instruct,maincand_0059,True,False,True,False,False,False,False,True,False,True,True,3,original_b_color+edited_a_color+edited_b_color,False
internvl3_5_8b_instruct,maincand_0076,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
internvl3_5_8b_instruct,maincand_0098,True,False,True,False,True,False,False,True,False,True,False,2,original_b_color+edited_a_color,False
internvl3_5_8b_instruct,maincand_0148,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
internvl3_5_8b_instruct,maincand_0273,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
internvl3_5_8b_instruct,maincand_0276,True,False,False,True,False,False,False,True,True,False,True,3,original_b_color+original_binding+edited_b_color,False
gemma3_12b_it,maincand_0008,True,False,True,True,False,False,False,True,False,False,True,2,original_b_color+edited_b_color,False
gemma3_12b_it,maincand_0057,True,True,True,True,False,False,False,False,False,False,True,1,edited_b_color,False
gemma3_12b_it,maincand_0059,True,True,True,True,False,False,False,False,False,False,True,1,edited_b_color,False
gemma3_12b_it,maincand_0069,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
gemma3_12b_it,maincand_0089,False,True,True,False,True,False,True,False,False,True,False,2,original_a_color+edited_a_color,False
gemma3_12b_it,maincand_0098,True,True,True,False,False,False,False,False,False,True,True,2,edited_a_color+edited_b_color,False
gemma3_12b_it,maincand_0148,True,False,True,True,False,False,False,True,False,False,True,2,original_b_color+edited_b_color,False
gemma3_12b_it,maincand_0192,True,True,True,False,False,False,False,False,False,True,True,2,edited_a_color+edited_b_color,False
gemma3_12b_it,maincand_0208,True,True,True,False,False,False,False,False,False,True,True,2,edited_a_color+edited_b_color,False
gemma3_12b_it,maincand_0210,True,False,True,True,False,False,False,True,False,False,True,2,original_b_color+edited_b_color,False
gemma3_12b_it,maincand_0216,True,True,True,True,False,False,False,False,False,False,True,1,edited_b_color,False
gemma3_12b_it,maincand_0223,True,True,True,False,True,False,False,False,False,True,False,1,edited_a_color,False
gemma3_12b_it,maincand_0242,False,True,True,False,False,False,True,False,False,True,True,3,original_a_color+edited_a_color+edited_b_color,False
gemma3_12b_it,maincand_0257,False,True,True,True,False,False,True,False,False,False,True,2,original_a_color+edited_b_color,False
llava_onevision2_8b_instruct,maincand_0059,True,False,True,True,False,False,False,True,False,False,True,2,original_b_color+edited_b_color,False
llava_onevision2_8b_instruct,maincand_0208,True,True,True,False,False,False,False,False,False,True,True,2,edited_a_color+edited_b_color,False
llava_onevision2_8b_instruct,maincand_0257,True,True,True,True,False,False,False,False,False,False,True,1,edited_b_color,False
llava_onevision2_8b_instruct,maincand_0283,False,True,True,False,True,False,True,False,False,True,False,2,original_a_color+edited_a_color,False
